name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging,In_ESPN_Top_50
Max Schuemann,OAK,SS,133,396,55,87,14,0,7,34,47,119,14,0.22,0.311,0.308,0.619,False
Jared Triolo,PIT,3B,125,394,41,85,10,1,9,46,42,118,8,0.216,0.296,0.315,0.611,False
Luis Robert,CWS,OF,100,393,47,88,19,0,14,35,28,141,23,0.224,0.278,0.379,0.657,False
J.P. Crawford,SEA,SS,105,392,55,79,16,2,9,37,52,102,5,0.202,0.304,0.321,0.625,False
Mickey Moniak,LAA,OF,124,392,48,86,17,2,14,49,21,114,8,0.219,0.266,0.38,0.646,False
Wenceel Perez,DET,OF,112,389,51,94,16,6,9,37,32,92,9,0.242,0.3,0.383,0.683,False
Jazz Chisholm,MIA,3B,101,386,46,96,14,4,13,50,39,107,22,0.249,0.323,0.407,0.73,False
Brandon Lowe,TB,2B,107,385,56,94,19,3,21,58,33,112,5,0.244,0.311,0.473,0.784,False
Hunter Renfroe,KC,OF,120,385,44,88,18,0,15,52,36,84,1,0.229,0.297,0.392,0.689,False
Kyle Isbel,KC,OF,136,384,62,88,13,8,8,42,27,88,11,0.229,0.287,0.367,0.654,False
Brayan Rocchio,CLE,SS,143,383,50,79,18,0,8,36,44,90,10,0.206,0.298,0.316,0.614,False
Rowdy Tellez,PIT,1B,132,383,38,93,18,0,13,56,31,89,1,0.243,0.299,0.392,0.691,False
Blake Perkins,MIL,OF,121,383,54,92,13,2,6,43,42,108,23,0.24,0.316,0.332,0.648,False
Mitch Haniger,SEA,OF,121,380,42,79,12,0,12,44,40,126,0,0.208,0.286,0.334,0.62,False
J.T. Realmuto,PHI,C,99,380,50,101,18,1,14,47,27,102,2,0.266,0.322,0.429,0.751,False
Masataka Yoshida,BOS,DH,108,378,45,106,21,0,10,56,27,52,2,0.28,0.349,0.415,0.764,False
Korey Lee,CWS,C,125,377,36,79,14,1,12,37,17,122,6,0.21,0.244,0.347,0.591,False
Seth Brown,OAK,OF,124,372,32,86,11,1,14,44,25,112,4,0.231,0.283,0.379,0.662,False
Pete Crow-Armstrong,CHC,OF,123,372,46,88,13,6,10,47,21,98,27,0.237,0.286,0.384,0.67,False
Dylan Moore,SEA,2B,135,368,53,74,23,4,10,42,53,123,32,0.201,0.32,0.367,0.687,False
Max Kepler,MIN,OF,105,368,43,93,21,1,8,42,22,80,1,0.253,0.302,0.38,0.682,False
Joc Pederson,ARI,DH,132,367,62,101,17,1,23,64,55,105,7,0.275,0.393,0.515,0.908,False
Mitch Garver,SEA,C,114,367,37,63,17,0,15,51,53,133,0,0.172,0.286,0.341,0.627,False
Ke'Bryan Hayes,PIT,3B,96,365,38,85,9,0,4,25,23,75,11,0.233,0.283,0.29,0.573,False
Nolan Gorman,STL,2B,107,365,42,74,15,0,19,50,34,151,6,0.203,0.271,0.4,0.671,False
Thairo Estrada,SF,2B,96,364,43,79,15,2,9,47,10,76,2,0.217,0.247,0.343,0.59,False
Connor Joe,PIT,OF,123,364,49,83,22,1,9,36,44,91,2,0.228,0.32,0.368,0.688,False
Isaac Paredes,TB,3B,101,363,41,89,19,1,16,55,52,68,0,0.245,0.357,0.435,0.792,False
Enrique Hernandez,LAD,3B,126,362,44,83,16,0,12,42,27,77,0,0.229,0.281,0.373,0.654,False
Christopher Morel,CHC,2B,103,362,43,72,7,1,18,51,47,103,7,0.199,0.302,0.373,0.675,False
Nick Gonzales,PIT,2B,94,359,42,97,19,3,7,49,18,74,5,0.27,0.311,0.398,0.709,False
Santiago Espinal,CIN,3B,118,357,32,88,12,0,9,45,24,54,11,0.246,0.295,0.356,0.651,False
Trevor Larnach,MIN,OF,112,355,59,92,17,0,15,52,40,89,4,0.259,0.338,0.434,0.772,False
Jon Singleton,HOU,1B,119,355,46,83,13,1,13,42,47,111,0,0.234,0.321,0.386,0.707,False
Byron Buxton,MIN,OF,102,355,62,99,27,3,18,56,20,99,7,0.279,0.335,0.524,0.859,False
Bo Naylor,CLE,C,123,354,39,71,10,2,13,39,29,122,6,0.201,0.264,0.35,0.614,False
Austin Wells,NYY,C,115,354,42,81,18,1,13,55,47,87,1,0.229,0.322,0.395,0.717,False
Josh Lowe,TB,OF,106,353,37,85,19,2,10,34,32,123,25,0.241,0.302,0.391,0.693,False
Lenyn Sosa,CWS,2B,100,351,28,89,13,0,8,35,12,77,3,0.254,0.283,0.359,0.642,False
Randy Arozarena,TB,OF,100,350,45,74,19,0,15,37,45,101,16,0.211,0.318,0.394,0.712,False
Jake Fraley,CIN,OF,116,350,44,97,19,2,5,26,26,70,20,0.277,0.33,0.386,0.716,False
Lars Nootbaar,STL,OF,109,348,39,85,18,3,12,45,52,79,7,0.244,0.342,0.417,0.759,False
Will Benson,CIN,OF,128,343,41,64,19,2,14,43,40,154,16,0.187,0.274,0.376,0.65,False
Spencer Torkelson,DET,1B,92,342,45,75,21,1,10,37,33,105,0,0.219,0.295,0.374,0.669,False
Jorge Soler,SF,OF,93,341,57,82,23,1,12,40,44,97,1,0.24,0.33,0.419,0.749,False
Alejandro Kirk,TOR,C,103,340,23,86,19,1,5,54,35,51,0,0.253,0.319,0.359,0.678,False
Freddy Fermin,KC,C,111,339,40,92,14,0,6,36,23,66,2,0.271,0.319,0.366,0.685,False
Johan Rojas,PHI,OF,120,338,47,82,12,3,3,32,13,69,25,0.243,0.279,0.322,0.601,False
Geraldo Perdomo,ARI,SS,98,337,61,92,21,2,3,37,36,58,9,0.273,0.344,0.374,0.718,False
Abraham Toro,OAK,3B,94,337,34,81,17,1,6,26,20,62,4,0.24,0.293,0.35,0.643,False
Anthony Rizzo,NYY,1B,92,337,38,77,12,0,8,35,27,65,0,0.228,0.301,0.335,0.636,False
Paul DeJong,CWS,SS,102,337,39,77,14,0,18,41,14,112,2,0.228,0.275,0.43,0.705,False
Starling Marte,NYM,OF,94,335,46,90,13,3,7,40,27,81,16,0.269,0.327,0.388,0.715,False
David Fry,CLE,C,122,335,44,88,18,1,14,51,42,84,4,0.263,0.356,0.448,0.804,False
Michael Massey,KC,2B,100,332,45,86,17,2,14,45,15,56,1,0.259,0.294,0.449,0.743,False
Jonny DeLuca,TB,OF,107,332,29,72,12,4,6,31,24,77,16,0.217,0.278,0.331,0.609,False
LaMonte Wade,SF,1B,117,331,45,86,16,0,8,34,62,90,2,0.26,0.38,0.381,0.761,False
Tyler Freeman,CLE,OF,118,330,48,69,14,1,7,32,28,53,11,0.209,0.305,0.321,0.626,False
Will Brennan,CLE,OF,114,330,37,87,13,2,8,30,19,48,4,0.264,0.309,0.388,0.697,False
Spencer Horwitz,TOR,1B,97,328,46,87,19,0,12,40,42,70,0,0.265,0.357,0.433,0.79,False
Miguel Amaya,CHC,C,117,328,32,76,13,2,8,47,23,62,0,0.232,0.288,0.357,0.645,False
Brandon Drury,LAA,2B,97,325,28,55,7,0,4,15,27,81,1,0.169,0.242,0.228,0.47,False
Jake Cave,COL,OF,123,323,42,81,16,5,7,37,18,98,5,0.251,0.29,0.396,0.686,False
Mark Canha,DET,1B,93,320,42,74,17,0,7,38,42,79,4,0.231,0.337,0.35,0.687,False
Carlos Correa,MIN,SS,86,319,55,99,20,2,14,54,40,61,0,0.31,0.388,0.517,0.905,False
Tyrone Taylor,NYM,OF,130,319,47,79,22,3,7,35,19,80,11,0.248,0.299,0.401,0.7,False
Jesse Winker,WSH,OF,101,315,51,81,18,0,11,45,53,84,14,0.257,0.374,0.419,0.793,False
Manuel Margot,MIN,OF,129,315,37,75,17,1,4,31,21,54,5,0.238,0.289,0.337,0.626,False
Tyler Fitzgerald,SF,SS,96,314,53,88,19,2,15,34,22,108,17,0.28,0.334,0.497,0.831,False
Bo Bichette,TOR,SS,81,311,29,70,16,1,4,31,20,64,5,0.225,0.277,0.322,0.599,False
Jake Rogers,DET,C,102,310,43,61,16,1,10,36,22,99,1,0.197,0.255,0.352,0.607,False
Francisco Alvarez,NYM,C,100,308,39,73,14,2,11,47,30,86,1,0.237,0.307,0.403,0.71,False
Nick Fortes,MIA,C,110,308,28,70,16,0,4,29,11,41,0,0.227,0.259,0.318,0.577,False
Miguel Rojas,LAD,SS,103,307,41,87,21,0,6,36,23,34,8,0.283,0.337,0.41,0.747,False
Travis d'Arnaud,ATL,C,99,307,40,73,16,0,15,48,24,89,1,0.238,0.302,0.436,0.738,False
Gabriel Moreno,ARI,C,97,305,39,81,18,1,5,45,41,52,3,0.266,0.353,0.38,0.733,False
Elias Diaz,COL,C,84,304,26,82,18,0,5,36,17,64,0,0.27,0.315,0.378,0.693,False
Adam Duvall,ATL,OF,104,303,29,55,10,0,11,30,21,99,0,0.182,0.245,0.323,0.568,False
Jake Bauers,MIL,1B,117,302,45,60,9,2,12,43,39,118,13,0.199,0.301,0.361,0.662,False
Miguel Andujar,OAK,OF,75,302,31,86,14,1,4,30,13,42,3,0.285,0.32,0.377,0.697,False
Willson Contreras,STL,C,84,301,48,79,17,0,15,36,45,96,4,0.262,0.38,0.468,0.848,False
Justin Turner,TOR,1B,91,301,37,77,17,0,6,31,39,60,0,0.256,0.35,0.372,0.722,False
Gio Urshela,DET,3B,92,300,25,73,10,1,5,37,19,49,0,0.243,0.286,0.333,0.619,False
Lane Thomas,WSH,OF,77,300,42,76,16,3,8,40,32,72,28,0.253,0.331,0.407,0.738,False
Ty France,SEA,1B,88,300,28,67,14,0,8,31,28,83,0,0.223,0.312,0.35,0.662,False
Oswaldo Cabrera,NYY,3B,109,299,47,74,11,0,8,36,21,63,4,0.247,0.296,0.365,0.661,False
Michael Siani,STL,OF,124,298,42,68,7,2,2,20,21,92,20,0.228,0.285,0.285,0.57,False
Mike Tauchman,CHC,OF,109,298,50,74,12,1,7,29,47,70,6,0.248,0.357,0.366,0.723,False
Zach McKinstry,DET,SS,118,297,32,64,14,5,4,23,24,69,16,0.215,0.277,0.337,0.614,False
TJ Friedl,CIN,OF,85,297,35,67,5,1,13,55,26,52,9,0.226,0.31,0.38,0.69,False
James Wood,WSH,OF,79,295,43,78,13,4,9,41,39,97,14,0.264,0.354,0.427,0.781,False
David Hamilton,BOS,2B,98,294,47,73,17,1,8,28,22,80,33,0.248,0.303,0.395,0.698,False
Christian Vazquez,MIN,C,93,294,29,65,10,0,7,27,11,65,3,0.221,0.248,0.327,0.575,False
Royce Lewis,MIN,3B,82,292,40,68,16,0,16,47,28,74,0,0.233,0.295,0.452,0.747,False
Ben Rortvedt,TB,C,112,290,27,66,13,0,3,31,34,88,1,0.228,0.317,0.303,0.62,False
Kevin Newman,ARI,SS,111,288,41,80,17,1,3,28,15,48,8,0.278,0.311,0.375,0.686,False
Donovan Solano,SD,2B,96,283,31,81,13,0,8,35,22,65,2,0.286,0.343,0.417,0.76,False
Luis Rengifo,LAA,2B,78,283,41,85,13,1,6,30,16,44,24,0.3,0.347,0.417,0.764,False
Joey Meneses,WSH,DH,76,281,19,65,11,0,3,42,21,63,2,0.231,0.291,0.302,0.593,False
Luis Campusano,SD,C,91,277,37,63,13,0,8,40,20,41,0,0.227,0.281,0.361,0.642,False
Kyle Tucker,HOU,OF,78,277,56,80,13,0,23,49,56,54,11,0.289,0.408,0.585,0.993,False
Javier Baez,DET,SS,80,272,25,50,12,0,6,37,12,69,8,0.184,0.221,0.294,0.515,False
Rob Refsnyder,BOS,OF,93,272,32,77,16,1,11,40,28,78,2,0.283,0.359,0.471,0.83,False
Ildemaro Vargas,WSH,3B,97,272,21,67,16,0,1,30,19,31,9,0.246,0.295,0.316,0.611,False
Ramon Urias,BAL,3B,100,272,39,69,9,2,11,37,23,55,1,0.254,0.322,0.423,0.745,False
Tommy Pham,CWS,OF,70,271,33,72,14,1,5,19,25,63,6,0.266,0.33,0.38,0.71,False
Jose Iglesias,NYM,2B,85,270,39,91,16,1,4,26,12,39,6,0.337,0.381,0.448,0.829,False
Christian Yelich,MIL,OF,73,270,44,85,12,3,11,42,40,58,21,0.315,0.406,0.504,0.91,False
Parker Meadows,DET,OF,82,270,39,66,12,6,9,28,25,76,9,0.244,0.31,0.433,0.743,False
Michael Taylor,PIT,OF,113,269,35,52,9,1,5,21,23,105,12,0.193,0.253,0.29,0.543,False
Ezequiel Duran,TEX,3B,92,268,26,66,11,0,3,20,14,63,1,0.246,0.288,0.321,0.609,False
Edouard Julien,MIN,2B,94,266,36,53,9,0,8,21,33,102,6,0.199,0.292,0.323,0.615,False
Xavier Edwards,MIA,SS,70,265,39,87,12,5,1,26,33,52,31,0.328,0.397,0.423,0.82,False
Richie Palacios,TB,2B,92,264,46,59,8,1,5,21,45,67,19,0.223,0.346,0.318,0.664,False
Amed Rosario,TB,2B,76,264,22,81,17,3,2,26,7,48,9,0.307,0.331,0.417,0.748,False
Kerry Carpenter,DET,OF,87,264,37,75,16,5,18,57,22,75,0,0.284,0.345,0.587,0.932,False
Adam Frazier,KC,2B,104,262,35,53,10,1,4,22,22,59,3,0.202,0.282,0.294,0.576,False
Nick Gordon,MIA,OF,95,260,29,59,11,1,8,32,11,67,5,0.227,0.258,0.369,0.627,False
Kevin Pillar,LAA,OF,83,259,37,61,14,1,7,41,12,61,10,0.236,0.291,0.378,0.669,False
Isiah Kiner-Falefa,TOR,SS,83,257,32,75,8,2,7,33,13,37,3,0.292,0.338,0.42,0.758,False
Nolan Jones,COL,OF,79,256,28,58,13,1,3,28,36,91,5,0.227,0.321,0.32,0.641,False
Randal Grichuk,ARI,OF,106,254,40,74,20,2,12,46,20,46,0,0.291,0.348,0.528,0.876,False
Joey Bart,PIT,C,80,253,38,67,11,0,13,45,22,73,0,0.265,0.337,0.462,0.799,False
Brett Wisely,SF,2B,91,252,25,60,13,1,4,31,13,65,2,0.238,0.278,0.345,0.623,False
Dominic Smith,BOS,1B,84,249,29,59,20,0,6,34,25,65,1,0.237,0.317,0.39,0.707,False
Edmundo Sosa,PHI,SS,90,249,39,64,12,4,7,31,13,66,7,0.257,0.313,0.422,0.735,False
Vidal Brujan,MIA,2B,102,248,32,55,14,2,2,16,25,54,5,0.222,0.303,0.319,0.622,False
Jack Suwinski,PIT,OF,88,247,29,45,8,0,9,26,27,79,9,0.182,0.264,0.324,0.588,False
Kyle Higashioka,SD,C,84,246,29,54,10,1,17,45,15,74,2,0.22,0.263,0.476,0.739,False
Tyler Nevin,OAK,3B,87,245,22,50,10,0,7,20,25,64,1,0.204,0.288,0.331,0.619,False
Victor Caratini,HOU,C,87,245,30,66,8,1,8,30,23,53,0,0.269,0.336,0.408,0.744,False
Gary Sanchez,MIL,C,89,245,30,54,7,1,11,37,27,76,0,0.22,0.307,0.392,0.699,False
Jacob Stallings,COL,C,82,243,31,64,17,1,9,36,27,65,0,0.263,0.357,0.453,0.81,False
Chas McCormick,HOU,OF,94,242,32,51,6,1,5,27,17,72,8,0.211,0.271,0.306,0.577,False
Max Muncy,LAD,3B,73,237,47,55,17,0,15,48,45,77,1,0.232,0.358,0.494,0.852,False
David Peralta,SD,OF,91,236,35,63,11,0,8,28,22,54,2,0.267,0.335,0.415,0.75,False
Tim Anderson,MIA,SS,65,234,16,50,3,0,0,9,7,68,4,0.214,0.237,0.226,0.463,False
Sean Murphy,ATL,C,72,233,19,45,5,1,10,25,27,67,0,0.193,0.284,0.352,0.636,False
Austin Martin,MIN,OF,93,233,41,59,18,1,1,16,20,47,7,0.253,0.318,0.352,0.67,False
Jonah Bride,MIA,1B,71,232,30,64,10,0,11,39,30,55,0,0.276,0.357,0.461,0.818,False
Noelvi Marte,CIN,3B,66,229,24,48,9,0,4,18,9,75,9,0.21,0.248,0.301,0.549,False
Ivan Herrera,STL,C,72,229,37,69,12,1,5,27,25,53,5,0.301,0.372,0.428,0.8,False
Willie Calhoun,LAA,OF,68,229,26,56,16,0,5,20,23,31,0,0.245,0.315,0.38,0.695,False
Victor Robles,SEA,OF,77,229,41,75,20,0,4,26,16,44,30,0.328,0.393,0.467,0.86,False
Eloy Jimenez,CWS,DH,65,229,18,55,9,0,5,16,18,47,3,0.24,0.297,0.345,0.642,False
Juan Yepez,WSH,1B,62,226,32,64,15,0,6,26,18,42,2,0.283,0.335,0.429,0.764,False
Elehuris Montero,COL,3B,67,224,23,46,10,0,4,28,20,56,0,0.205,0.267,0.304,0.571,False
Andy Ibanez,DET,2B,99,224,30,54,9,1,5,32,15,63,2,0.241,0.295,0.357,0.652,False
Dominic Fletcher,CWS,OF,72,223,14,46,8,0,1,17,11,58,0,0.206,0.252,0.256,0.508,False
Matt Wallner,MIN,OF,75,220,26,57,17,1,13,37,24,95,3,0.259,0.372,0.523,0.895,False
Eddie Rosario,WSH,OF,67,219,26,40,11,0,7,26,13,54,8,0.183,0.226,0.329,0.555,False
Taylor Walls,TB,SS,84,218,27,40,5,3,1,14,31,67,16,0.183,0.282,0.248,0.53,False
Ramon Laureano,ATL,OF,67,216,28,64,13,1,10,29,8,64,5,0.296,0.327,0.505,0.832,False
Kyle Farmer,MIN,SS,107,215,26,46,13,1,5,25,19,49,3,0.214,0.293,0.353,0.646,False
Yasmani Grandal,PIT,C,72,215,26,49,10,0,9,27,24,46,1,0.228,0.304,0.4,0.704,False
Wilmer Flores,SF,1B,71,214,19,44,12,0,4,26,20,33,0,0.206,0.277,0.318,0.595,False
James McCann,BAL,C,66,214,27,50,9,0,8,31,13,56,1,0.234,0.279,0.388,0.667,False
Chris Taylor,LAD,2B,87,213,28,43,7,1,4,23,28,76,5,0.202,0.298,0.3,0.598,False
Garrett Hampson,KC,SS,113,213,16,49,13,1,0,16,14,59,7,0.23,0.275,0.3,0.575,False
Triston Casas,BOS,1B,63,212,28,51,8,0,13,32,30,77,0,0.241,0.337,0.462,0.799,False
Hunter Goodman,COL,C,70,211,24,40,9,0,13,36,8,64,1,0.19,0.228,0.417,0.645,False
Jose Trevino,NYY,C,74,209,26,45,5,0,8,28,20,41,1,0.215,0.288,0.354,0.642,False
Stuart Fairchild,CIN,OF,94,209,33,45,8,0,8,30,17,60,13,0.215,0.286,0.368,0.654,False
Isiah Kiner-Falefa,PIT,SS,50,208,21,50,10,2,1,10,3,41,8,0.24,0.265,0.322,0.587,False
Addison Barger,TOR,3B,69,208,20,41,11,0,7,28,14,60,2,0.197,0.25,0.351,0.601,False
Anthony Rendon,LAA,3B,57,206,21,45,10,0,0,14,23,35,6,0.218,0.307,0.267,0.574,False
Nick Senzel,WSH,OF,64,206,25,43,10,0,7,18,27,53,1,0.209,0.303,0.359,0.662,False
Nelson Velazquez,KC,DH,64,205,31,41,8,1,8,27,19,61,2,0.2,0.274,0.366,0.64,False
Justyn-Henry Malloy,DET,OF,71,202,18,41,7,1,8,21,23,85,1,0.203,0.291,0.366,0.657,False
Pedro Pages,STL,C,68,202,19,48,3,2,7,27,13,58,2,0.238,0.281,0.376,0.657,False
Enmanuel Valdez,BOS,2B,76,201,23,43,12,0,6,28,17,53,1,0.214,0.27,0.363,0.633,False
Emmanuel Rivera,MIA,3B,97,201,15,43,6,1,1,15,20,51,2,0.214,0.294,0.269,0.563,False
DJ LeMahieu,NYY,3B,67,201,19,41,5,0,2,26,19,35,0,0.204,0.269,0.259,0.528,False
Kevin Kiermaier,TOR,OF,82,200,24,39,7,2,4,18,10,66,5,0.195,0.236,0.31,0.546,False
Randy Arozarena,SEA,OF,54,199,32,46,14,0,5,23,28,68,4,0.231,0.356,0.377,0.733,False
